DATE,DEWP,HIDX,TEMP,WCHL
03-27T12:00:00,30.7,49.2,49.2,45.0
03-27T13:00:00,30.7,50.3,50.3,46.5
03-27T14:00:00,30.8,51.0,51.0,47.5
03-27T15:00:00,30.8,51.3,51.3,47.9
03-27T16:00:00,31.1,51.0,51.0,47.5
03-27T17:00:00,31.4,50.1,50.1,46.3
03-27T18:00:00,31.6,49.0,49.0,44.8
03-27T19:00:00,31.9,47.9,47.9,43.4
03-27T20:00:00,32.0,47.1,47.1,42.5
03-27T21:00:00,32.1,46.5,46.5,41.7
03-27T22:00:00,32.0,45.8,45.8,41.0
03-27T23:00:00,32.0,45.2,45.2,40.2
03-28T00:00:00,31.9,44.4,44.4,39.2
03-28T01:00:00,31.8,43.9,43.9,38.8
03-28T02:00:00,31.7,43.3,43.3,38.1
03-28T03:00:00,31.7,42.9,42.9,37.5
03-28T04:00:00,31.6,42.4,42.4,36.9
03-28T05:00:00,31.5,42.0,42.0,36.5
03-28T06:00:00,31.4,41.8,41.8,36.1
03-28T07:00:00,31.5,42.3,42.3,36.5
03-28T08:00:00,31.4,43.7,43.7,37.9
03-28T09:00:00,31.3,45.2,45.2,39.8
03-28T10:00:00,31.2,46.8,46.8,42.0
03-28T11:00:00,31.2,48.4,48.4,44.1
03-28T12:00:00,31.3,49.6,49.6,45.7
03-28T13:00:00,31.3,50.8,50.8,47.2
03-28T14:00:00,31.5,51.5,51.5,48.1
03-28T15:00:00,31.4,51.8,51.8,48.6
03-28T16:00:00,31.6,51.5,51.5,48.2
03-28T17:00:00,31.9,50.7,50.7,47.0
03-28T18:00:00,32.0,49.5,49.5,45.5
03-28T19:00:00,32.2,48.4,48.4,44.0
03-28T20:00:00,32.3,47.6,47.6,43.1
03-28T21:00:00,32.4,46.9,46.9,42.2
03-28T22:00:00,32.3,46.2,46.2,41.5
03-28T23:00:00,32.4,45.6,45.6,40.7
03-29T00:00:00,32.1,44.8,44.8,39.7
03-29T01:00:00,32.1,44.4,44.4,39.4
03-29T02:00:00,32.1,43.8,43.8,38.6
03-29T03:00:00,32.0,43.3,43.3,38.1
03-29T04:00:00,31.9,42.8,42.8,37.5
03-29T05:00:00,31.9,42.4,42.4,37.0
03-29T06:00:00,31.8,42.2,42.2,36.7
03-29T07:00:00,31.8,42.8,42.8,37.1
03-29T08:00:00,31.8,44.2,44.2,38.6
03-29T09:00:00,31.6,45.7,45.7,40.5
03-29T10:00:00,31.5,47.4,47.4,42.8
03-29T11:00:00,31.5,48.9,48.9,44.8
03-29T12:00:00,31.6,50.2,50.2,46.4
03-29T13:00:00,31.6,51.3,51.3,47.9
03-29T14:00:00,31.7,52.0,52.0,48.9
03-29T15:00:00,31.6,52.3,52.3,49.4
03-29T16:00:00,31.8,52.1,52.1,49.1
03-29T17:00:00,32.1,51.2,51.2,47.8
03-29T18:00:00,32.2,50.0,50.0,46.3
03-29T19:00:00,32.4,48.9,48.9,44.7
03-29T20:00:00,32.5,48.0,48.0,43.7
03-29T21:00:00,32.6,47.3,47.3,42.9
03-29T22:00:00,32.6,46.7,46.7,42.2
03-29T23:00:00,32.7,46.0,46.0,41.4
03-30T00:00:00,32.4,45.2,45.2,40.3
03-30T01:00:00,32.5,44.8,44.8,40.0
03-30T02:00:00,32.5,44.2,44.2,39.2
03-30T03:00:00,32.4,43.7,43.7,38.6
03-30T04:00:00,32.4,43.2,43.2,38.0
03-30T05:00:00,32.3,42.8,42.8,37.5
03-30T06:00:00,32.2,42.6,42.6,37.2
03-30T07:00:00,32.3,43.2,43.2,37.7
03-30T08:00:00,32.3,44.6,44.6,39.2
03-30T09:00:00,32.1,46.2,46.2,41.2
03-30T10:00:00,32.0,47.8,47.8,43.4
03-30T11:00:00,32.1,49.3,49.3,45.3
03-30T12:00:00,32.1,50.6,50.6,47.0
03-30T13:00:00,32.1,51.7,51.7,48.5
03-30T14:00:00,32.3,52.5,52.5,49.4
03-30T15:00:00,32.2,52.7,52.7,49.9
03-30T16:00:00,32.4,52.5,52.5,49.6
03-30T17:00:00,32.7,51.6,51.6,48.4
03-30T18:00:00,32.8,50.5,50.5,46.9
03-30T19:00:00,33.0,49.3,49.3,45.4
03-30T20:00:00,33.1,48.5,48.5,44.3
03-30T21:00:00,33.2,47.7,47.7,43.5
03-30T22:00:00,33.2,47.1,47.1,42.8
03-30T23:00:00,33.3,46.4,46.4,41.9
03-31T00:00:00,33.0,45.7,45.7,41.0
03-31T01:00:00,33.1,45.3,45.3,40.6
03-31T02:00:00,33.1,44.6,44.6,39.8
03-31T03:00:00,33.0,44.1,44.1,39.2
03-31T04:00:00,32.9,43.7,43.7,38.6
03-31T05:00:00,32.9,43.2,43.2,38.1
03-31T06:00:00,32.8,43.1,43.1,37.8
03-31T07:00:00,32.8,43.7,43.7,38.4
03-31T08:00:00,32.9,45.2,45.2,40.0
03-31T09:00:00,32.7,46.7,46.7,41.9
03-31T10:00:00,32.6,48.3,48.3,44.1
03-31T11:00:00,32.7,49.9,49.9,46.1
03-31T12:00:00,32.6,51.1,51.1,47.7
03-31T13:00:00,32.6,52.2,52.2,49.2
03-31T14:00:00,32.8,53.0,53.0,50.1
03-31T15:00:00,32.7,53.3,53.3,50.6
03-31T16:00:00,32.9,53.0,53.0,50.3
03-31T17:00:00,33.2,52.1,52.1,49.0
03-31T18:00:00,33.4,51.0,51.0,47.6
03-31T19:00:00,33.5,49.8,49.8,46.0
03-31T20:00:00,33.7,49.0,49.0,45.0
03-31T21:00:00,33.8,48.2,48.2,44.1
03-31T22:00:00,33.7,47.5,47.5,43.4
03-31T23:00:00,33.8,46.9,46.9,42.5
04-01T00:00:00,33.5,46.1,46.1,41.4
04-01T01:00:00,33.7,45.7,45.7,41.1
04-01T02:00:00,33.6,45.0,45.0,40.2
04-01T03:00:00,33.5,44.5,44.5,39.7
04-01T04:00:00,33.5,44.1,44.1,39.1
04-01T05:00:00,33.4,43.6,43.6,38.6
04-01T06:00:00,33.3,43.5,43.5,38.3
04-01T07:00:00,33.3,44.1,44.1,38.9
04-01T08:00:00,33.3,45.6,45.6,40.4
04-01T09:00:00,33.1,47.1,47.1,42.4
04-01T10:00:00,33.0,48.7,48.7,44.6
04-01T11:00:00,33.1,50.2,50.2,46.5
04-01T12:00:00,33.1,51.5,51.5,48.1
04-01T13:00:00,33.1,52.6,52.6,49.6
04-01T14:00:00,33.3,53.3,53.3,50.5
04-01T15:00:00,33.3,53.6,53.6,50.9
04-01T16:00:00,33.3,53.3,53.3,50.6
04-01T17:00:00,33.6,52.4,52.4,49.4
04-01T18:00:00,33.8,51.3,51.3,48.0
04-01T19:00:00,33.9,50.1,50.1,46.4
04-01T20:00:00,34.1,49.2,49.2,45.3
04-01T21:00:00,34.2,48.5,48.5,44.4
04-01T22:00:00,34.2,47.8,47.8,43.7
04-01T23:00:00,34.3,47.1,47.1,42.8
04-02T00:00:00,34.0,46.3,46.3,41.7
04-02T01:00:00,34.2,45.9,45.9,41.4
04-02T02:00:00,34.1,45.3,45.3,40.6
04-02T03:00:00,34.0,44.8,44.8,39.9
04-02T04:00:00,33.9,44.4,44.4,39.5
04-02T05:00:00,33.9,43.9,43.9,38.9
04-02T06:00:00,33.8,43.9,43.9,38.7
04-02T07:00:00,33.7,44.4,44.4,39.2
04-02T08:00:00,33.8,45.8,45.8,40.8
04-02T09:00:00,33.6,47.4,47.4,42.8
04-02T10:00:00,33.4,49.0,49.0,45.0
04-02T11:00:00,33.5,50.5,50.5,46.9
04-02T12:00:00,33.5,51.8,51.8,48.5
04-02T13:00:00,33.5,52.9,52.9,50.0
04-02T14:00:00,33.7,53.6,53.6,50.8
04-02T15:00:00,33.6,53.8,53.8,51.2
04-02T16:00:00,33.7,53.6,53.6,50.9
04-02T17:00:00,33.9,52.7,52.7,49.7
04-02T18:00:00,34.1,51.6,51.6,48.4
04-02T19:00:00,34.2,50.4,50.4,46.8
04-02T20:00:00,34.3,49.5,49.5,45.6
04-02T21:00:00,34.5,48.7,48.7,44.6
04-02T22:00:00,34.5,48.0,48.0,43.9
04-02T23:00:00,34.5,47.3,47.3,42.9
04-03T00:00:00,34.2,46.5,46.5,41.8
04-03T01:00:00,34.2,46.1,46.1,41.5
04-03T02:00:00,34.2,45.4,45.4,40.7
04-03T03:00:00,34.1,44.9,44.9,40.0
04-03T04:00:00,33.9,44.4,44.4,39.5
04-03T05:00:00,33.8,44.0,44.0,38.9
04-03T06:00:00,33.8,44.0,44.0,38.8
04-03T07:00:00,33.8,44.6,44.6,39.3
04-03T08:00:00,33.9,46.0,46.0,41.0
04-03T09:00:00,33.7,47.6,47.6,43.1
04-03T10:00:00,33.5,49.2,49.2,45.3
04-03T11:00:00,33.5,50.8,50.8,47.2
04-03T12:00:00,33.5,52.0,52.0,48.8
04-03T13:00:00,33.4,53.2,53.2,50.3
04-03T14:00:00,33.6,53.9,53.9,51.2
04-03T15:00:00,33.6,54.1,54.1,51.6
04-03T16:00:00,33.7,53.9,53.9,51.3
04-03T17:00:00,34.0,53.0,53.0,50.1
04-03T18:00:00,34.2,51.9,51.9,48.7
04-03T19:00:00,34.3,50.7,50.7,47.2
04-03T20:00:00,34.4,49.7,49.7,46.0
04-03T21:00:00,34.6,48.9,48.9,45.0
04-03T22:00:00,34.6,48.2,48.2,44.2
04-03T23:00:00,34.6,47.5,47.5,43.3
04-04T00:00:00,34.3,46.7,46.7,42.1
04-04T01:00:00,34.3,46.3,46.3,41.8
04-04T02:00:00,34.2,45.7,45.7,41.0
04-04T03:00:00,34.1,45.1,45.1,40.3
04-04T04:00:00,34.0,44.7,44.7,39.8
04-04T05:00:00,34.0,44.2,44.2,39.2
04-04T06:00:00,33.9,44.2,44.2,39.0
04-04T07:00:00,33.8,44.8,44.8,39.6
04-04T08:00:00,34.0,46.2,46.2,41.2
04-04T09:00:00,33.8,47.7,47.7,43.2
04-04T10:00:00,33.6,49.3,49.3,45.4
04-04T11:00:00,33.6,50.8,50.8,47.3
04-04T12:00:00,33.5,52.1,52.0,48.9
04-04T13:00:00,33.6,53.2,53.2,50.4
04-04T14:00:00,33.7,53.9,53.9,51.3
04-04T15:00:00,33.7,54.1,54.1,51.6
04-04T16:00:00,33.8,53.9,53.9,51.3
04-04T17:00:00,34.0,53.0,53.0,50.2
04-04T18:00:00,34.1,51.9,51.9,48.8
04-04T19:00:00,34.3,50.7,50.7,47.2
04-04T20:00:00,34.5,49.7,49.7,46.0
04-04T21:00:00,34.7,48.9,48.9,44.9
04-04T22:00:00,34.7,48.2,48.2,44.2
04-04T23:00:00,34.7,47.5,47.5,43.3
04-05T00:00:00,34.4,46.7,46.7,42.1
04-05T01:00:00,34.3,46.4,46.4,41.9
04-05T02:00:00,34.2,45.7,45.7,41.1
04-05T03:00:00,34.2,45.2,45.2,40.3
04-05T04:00:00,34.1,44.7,44.7,39.8
04-05T05:00:00,34.1,44.2,44.2,39.3
04-05T06:00:00,34.0,44.2,44.2,39.1
04-05T07:00:00,33.9,44.9,44.9,39.7
04-05T08:00:00,34.0,46.3,46.3,41.3
04-05T09:00:00,33.9,47.8,47.8,43.3
04-05T10:00:00,33.7,49.4,49.4,45.5
04-05T11:00:00,33.7,50.9,50.9,47.4
04-05T12:00:00,33.7,52.1,52.1,49.1
04-05T13:00:00,33.7,53.3,53.3,50.6
04-05T14:00:00,33.9,54.0,54.0,51.4
04-05T15:00:00,33.8,54.2,54.2,51.7
04-05T16:00:00,33.8,53.9,53.9,51.4
04-05T17:00:00,34.0,53.1,53.1,50.2
04-05T18:00:00,34.1,52.0,52.0,48.9
04-05T19:00:00,34.4,50.8,50.8,47.3
04-05T20:00:00,34.5,49.8,49.8,46.1
04-05T21:00:00,34.7,49.0,49.0,45.1
04-05T22:00:00,34.7,48.2,48.2,44.2
04-05T23:00:00,34.6,47.6,47.6,43.4
04-06T00:00:00,34.4,46.6,46.6,42.1
04-06T01:00:00,34.3,46.4,46.4,42.0
04-06T02:00:00,34.3,45.7,45.7,41.1
04-06T03:00:00,34.2,45.2,45.2,40.4
04-06T04:00:00,34.1,44.7,44.7,39.9
04-06T05:00:00,34.1,44.2,44.2,39.3
04-06T06:00:00,34.1,44.3,44.3,39.2
04-06T07:00:00,34.0,44.9,44.9,39.8
04-06T08:00:00,34.1,46.4,46.4,41.4
04-06T09:00:00,33.9,47.8,47.8,43.4
04-06T10:00:00,33.7,49.4,49.4,45.6
04-06T11:00:00,33.7,50.9,50.9,47.4
04-06T12:00:00,33.7,52.1,52.1,49.1
04-06T13:00:00,33.7,53.3,53.3,50.6
04-06T14:00:00,33.8,54.0,54.0,51.5
04-06T15:00:00,33.8,54.2,54.2,51.8
04-06T16:00:00,33.8,53.9,53.9,51.4
04-06T17:00:00,34.0,53.2,53.2,50.4
04-06T18:00:00,34.1,52.1,52.1,49.1
04-06T19:00:00,34.4,50.8,50.8,47.4
04-06T20:00:00,34.5,49.8,49.8,46.1
04-06T21:00:00,34.7,49.0,49.0,45.1
04-06T22:00:00,34.7,48.3,48.3,44.3
04-06T23:00:00,34.6,47.6,47.6,43.5
04-07T00:00:00,34.4,46.7,46.7,42.2
04-07T01:00:00,34.3,46.5,46.5,42.1
04-07T02:00:00,34.3,45.8,45.8,41.3
04-07T03:00:00,34.2,45.3,45.3,40.5
04-07T04:00:00,34.2,44.8,44.8,40.0
04-07T05:00:00,34.2,44.4,44.4,39.4
04-07T06:00:00,34.1,44.4,44.4,39.4
04-07T07:00:00,34.1,45.1,45.1,40.0
04-07T08:00:00,34.2,46.5,46.5,41.7
04-07T09:00:00,34.0,48.0,48.0,43.6
04-07T10:00:00,33.8,49.6,49.6,45.8
04-07T11:00:00,33.8,51.1,51.1,47.7
04-07T12:00:00,33.8,52.3,52.3,49.4
04-07T13:00:00,33.8,53.5,53.5,51.0
04-07T14:00:00,33.9,54.2,54.2,51.8
04-07T15:00:00,33.9,54.4,54.4,52.1
04-07T16:00:00,33.9,54.1,54.1,51.8
04-07T17:00:00,34.1,53.4,53.4,50.7
04-07T18:00:00,34.3,52.2,52.2,49.3
04-07T19:00:00,34.6,50.9,50.9,47.6
04-07T20:00:00,34.7,49.9,49.9,46.3
04-07T21:00:00,34.9,49.1,49.1,45.3
04-07T22:00:00,34.9,48.4,48.4,44.5
04-07T23:00:00,34.8,47.7,47.7,43.6
04-08T00:00:00,34.7,46.7,46.7,42.3
04-08T01:00:00,34.6,46.6,46.6,42.2
04-08T02:00:00,34.5,45.9,45.9,41.4
04-08T03:00:00,34.4,45.4,45.4,40.7
04-08T04:00:00,34.3,45.0,45.0,40.2
04-08T05:00:00,34.3,44.5,44.5,39.6
04-08T06:00:00,34.3,44.6,44.6,39.6
04-08T07:00:00,34.2,45.3,45.3,40.2
04-08T08:00:00,34.4,46.7,46.7,41.9
04-08T09:00:00,34.2,48.2,48.2,43.9
04-08T10:00:00,34.0,49.8,49.8,46.1
04-08T11:00:00,34.0,51.3,51.3,48.0
04-08T12:00:00,33.9,52.5,52.5,49.7
04-08T13:00:00,33.9,53.7,53.7,51.3
04-08T14:00:00,34.1,54.4,54.4,52.2
04-08T15:00:00,34.1,54.6,54.6,52.4
04-08T16:00:00,34.1,54.4,54.4,52.1
04-08T17:00:00,34.3,53.6,53.6,51.1
04-08T18:00:00,34.6,52.5,52.5,49.6
04-08T19:00:00,34.8,51.2,51.2,47.9
04-08T20:00:00,35.0,50.2,50.2,46.7
04-08T21:00:00,35.2,49.4,49.4,45.6
04-08T22:00:00,35.1,48.6,48.6,44.8
04-08T23:00:00,35.1,48.0,48.0,43.9
04-09T00:00:00,35.2,47.1,47.1,42.7
04-09T01:00:00,34.9,46.9,46.9,42.6
04-09T02:00:00,34.8,46.2,46.2,41.8
04-09T03:00:00,34.7,45.7,45.7,41.1
04-09T04:00:00,34.7,45.3,45.3,40.6
04-09T05:00:00,34.7,44.8,44.8,40.1
04-09T06:00:00,34.6,44.9,44.9,40.1
04-09T07:00:00,34.6,45.7,45.7,40.8
04-09T08:00:00,34.6,47.1,47.1,42.4
04-09T09:00:00,34.6,48.6,48.6,44.3
04-09T10:00:00,34.3,50.1,50.1,46.6
04-09T11:00:00,34.2,51.6,51.6,48.5
04-09T12:00:00,34.1,52.9,52.9,50.2
04-09T13:00:00,34.0,54.1,54.1,51.7
04-09T14:00:00,34.3,54.8,54.8,52.6
04-09T15:00:00,34.3,55.1,55.1,52.9
04-09T16:00:00,34.3,54.9,54.9,52.7
04-09T17:00:00,34.5,54.1,54.1,51.6
04-09T18:00:00,34.7,52.9,52.9,50.1
04-09T19:00:00,35.0,51.6,51.6,48.4
04-09T20:00:00,35.2,50.5,50.5,47.1
04-09T21:00:00,35.5,49.7,49.7,46.1
04-09T22:00:00,35.4,48.9,48.9,45.2
04-09T23:00:00,35.4,48.2,48.2,44.3
04-10T00:00:00,35.7,47.4,47.4,43.2
04-10T01:00:00,35.2,47.1,47.1,43.0
04-10T02:00:00,35.1,46.5,46.5,42.2
04-10T03:00:00,35.0,46.0,46.0,41.5
04-10T04:00:00,35.0,45.6,45.6,41.0
04-10T05:00:00,35.0,45.2,45.2,40.5
04-10T06:00:00,34.9,45.3,45.3,40.6
04-10T07:00:00,34.9,46.1,46.1,41.3
04-10T08:00:00,35.0,47.5,47.5,42.9
04-10T09:00:00,34.9,49.0,49.0,44.9
04-10T10:00:00,34.6,50.6,50.6,47.1
04-10T11:00:00,34.6,52.0,52.0,48.9
04-10T12:00:00,34.4,53.3,53.3,50.6
04-10T13:00:00,34.4,54.5,54.5,52.0
04-10T14:00:00,34.6,55.1,55.1,52.9
04-10T15:00:00,34.6,55.4,55.4,53.2
04-10T16:00:00,34.7,55.1,55.1,53.0
04-10T17:00:00,34.8,54.4,54.4,52.0
04-10T18:00:00,35.1,53.2,53.2,50.5
04-10T19:00:00,35.4,51.9,51.9,48.8
04-10T20:00:00,35.5,50.9,50.9,47.5
04-10T21:00:00,35.7,50.1,50.1,46.6
04-10T22:00:00,35.7,49.3,49.3,45.7
04-10T23:00:00,35.7,48.6,48.6,44.8
04-11T00:00:00,36.1,47.8,47.8,43.6
04-11T01:00:00,35.5,47.5,47.5,43.4
04-11T02:00:00,35.4,46.9,46.9,42.6
04-11T03:00:00,35.2,46.3,46.3,41.8
04-11T04:00:00,35.1,45.9,45.9,41.4
04-11T05:00:00,35.1,45.5,45.5,40.9
04-11T06:00:00,35.0,45.6,45.6,40.9
04-11T07:00:00,35.1,46.3,46.3,41.6
04-11T08:00:00,35.1,47.7,47.7,43.2
04-11T09:00:00,35.0,49.3,49.3,45.2
04-11T10:00:00,34.7,50.9,50.9,47.5
04-11T11:00:00,34.7,52.4,52.4,49.4
04-11T12:00:00,34.5,53.8,53.8,51.2
04-11T13:00:00,34.4,54.9,54.9,52.6
04-11T14:00:00,34.6,55.7,55.7,53.5
04-11T15:00:00,34.6,55.9,55.9,53.8
04-11T16:00:00,34.6,55.7,55.7,53.6
04-11T17:00:00,34.7,54.9,54.9,52.6
04-11T18:00:00,35.0,53.7,53.7,51.1
04-11T19:00:00,35.2,52.4,52.4,49.3
04-11T20:00:00,35.4,51.3,51.3,48.1
04-11T21:00:00,35.6,50.5,50.5,47.0
04-11T22:00:00,35.6,49.6,49.6,46.1
04-11T23:00:00,35.6,48.9,48.9,45.2
04-12T00:00:00,36.1,48.0,48.0,43.9
04-12T01:00:00,35.5,47.7,47.7,43.7
04-12T02:00:00,35.5,47.0,47.0,42.9
04-12T03:00:00,35.3,46.5,46.5,42.0
04-12T04:00:00,35.2,46.0,46.0,41.5
04-12T05:00:00,35.2,45.6,45.6,41.0
04-12T06:00:00,35.2,45.7,45.7,41.1
04-12T07:00:00,35.2,46.5,46.5,42.0
04-12T08:00:00,35.2,48.0,48.0,43.6
04-12T09:00:00,35.2,49.6,49.6,45.7
04-12T10:00:00,34.9,51.3,51.3,48.1
04-12T11:00:00,34.9,52.9,52.9,50.0
04-12T12:00:00,34.8,54.3,54.3,51.8
04-12T13:00:00,34.6,55.4,55.4,53.3
04-12T14:00:00,34.8,56.2,56.2,54.2
04-12T15:00:00,34.9,56.4,56.4,54.5
04-12T16:00:00,34.9,56.2,56.2,54.2
04-12T17:00:00,35.1,55.4,55.4,53.2
04-12T18:00:00,35.4,54.2,54.2,51.7
04-12T19:00:00,35.7,52.8,52.8,50.0
04-12T20:00:00,35.9,51.8,51.8,48.7
04-12T21:00:00,36.2,51.0,51.0,47.7
04-12T22:00:00,36.2,50.1,50.1,46.8
04-12T23:00:00,36.2,49.4,49.3,45.8
04-13T00:00:00,36.9,48.5,48.5,44.6
04-13T01:00:00,36.2,48.1,48.1,44.3
04-13T02:00:00,36.1,47.5,47.5,43.5
04-13T03:00:00,35.9,46.9,46.9,42.6
04-13T04:00:00,35.8,46.4,46.4,42.2
04-13T05:00:00,35.8,46.1,46.1,41.7
04-13T06:00:00,35.8,46.2,46.2,41.8
04-13T07:00:00,35.7,47.1,47.1,42.6
04-13T08:00:00,35.7,48.5,48.5,44.3
04-13T09:00:00,35.7,50.1,50.1,46.4
04-13T10:00:00,35.4,51.8,51.8,48.7
04-13T11:00:00,35.4,53.4,53.3,50.7
04-13T12:00:00,35.2,54.7,54.7,52.5
04-13T13:00:00,35.1,55.9,55.9,53.9
04-13T14:00:00,35.3,56.7,56.7,54.8
04-13T15:00:00,35.3,56.8,56.8,55.0
04-13T16:00:00,35.3,56.6,56.6,54.7
04-13T17:00:00,35.5,55.8,55.8,53.7
04-13T18:00:00,35.8,54.5,54.5,52.2
04-13T19:00:00,36.1,53.2,53.2,50.5
04-13T20:00:00,36.3,52.2,52.2,49.3
04-13T21:00:00,36.7,51.3,51.3,48.2
04-13T22:00:00,36.7,50.5,50.5,47.3
04-13T23:00:00,36.6,49.7,49.7,46.3
04-14T00:00:00,37.3,48.8,48.8,45.0
04-14T01:00:00,36.7,48.5,48.5,44.8
04-14T02:00:00,36.6,47.9,47.9,44.1
04-14T03:00:00,36.4,47.3,47.3,43.2
04-14T04:00:00,36.3,46.8,46.8,42.7
04-14T05:00:00,36.4,46.5,46.5,42.3
04-14T06:00:00,36.3,46.6,46.6,42.4
04-14T07:00:00,36.3,47.5,47.5,43.3
04-14T08:00:00,36.3,49.0,49.0,45.1
04-14T09:00:00,36.2,50.6,50.6,47.2
04-14T10:00:00,35.9,52.3,52.3,49.5
04-14T11:00:00,35.8,54.0,54.0,51.5
04-14T12:00:00,35.7,55.3,55.3,53.3
04-14T13:00:00,35.5,56.5,56.5,54.6
04-14T14:00:00,35.6,57.2,57.2,55.5
04-14T15:00:00,35.7,57.4,57.4,55.7
04-14T16:00:00,35.8,57.1,57.1,55.3
04-14T17:00:00,35.9,56.3,56.3,54.3
04-14T18:00:00,36.2,54.9,54.9,52.8
04-14T19:00:00,36.5,53.6,53.6,51.1
04-14T20:00:00,36.8,52.5,52.5,49.8
04-14T21:00:00,37.1,51.7,51.7,48.7
04-14T22:00:00,37.1,50.8,50.8,47.8
04-14T23:00:00,37.0,50.0,50.0,46.7
04-15T00:00:00,37.8,49.1,49.1,45.4
04-15T01:00:00,37.1,48.7,48.7,45.2
04-15T02:00:00,37.0,48.1,48.1,44.4
04-15T03:00:00,36.8,47.5,47.5,43.6
04-15T04:00:00,36.8,47.1,47.1,43.1
04-15T05:00:00,36.8,46.7,46.7,42.7
04-15T06:00:00,36.8,46.9,46.9,42.8
04-15T07:00:00,36.8,47.8,47.8,43.7
04-15T08:00:00,36.7,49.3,49.3,45.5
04-15T09:00:00,36.7,51.0,51.0,47.6
04-15T10:00:00,36.4,52.7,52.7,50.0
04-15T11:00:00,36.3,54.4,54.4,52.1
04-15T12:00:00,36.2,55.8,55.8,53.8
04-15T13:00:00,36.1,56.9,56.9,55.1
04-15T14:00:00,36.2,57.5,57.5,56.0
04-15T15:00:00,36.3,57.7,57.7,56.2
04-15T16:00:00,36.3,57.3,57.3,55.7
04-15T17:00:00,36.4,56.6,56.5,54.8
04-15T18:00:00,36.7,55.2,55.2,53.1
04-15T19:00:00,37.0,53.8,53.8,51.3
04-15T20:00:00,37.2,52.7,52.7,50.1
04-15T21:00:00,37.4,51.8,51.8,49.0
04-15T22:00:00,37.4,51.0,51.0,48.1
04-15T23:00:00,37.3,50.2,50.2,47.1
04-16T00:00:00,38.1,49.4,49.4,45.9
04-16T01:00:00,37.3,49.0,49.0,45.6
04-16T02:00:00,37.3,48.3,48.3,44.8
04-16T03:00:00,37.1,47.8,47.8,43.9
04-16T04:00:00,37.1,47.3,47.3,43.5
04-16T05:00:00,37.1,47.0,47.0,43.1
04-16T06:00:00,37.1,47.2,47.2,43.2
04-16T07:00:00,37.1,48.1,48.1,44.1
04-16T08:00:00,37.1,49.7,49.7,46.0
04-16T09:00:00,37.1,51.3,51.3,48.1
04-16T10:00:00,36.8,53.0,53.0,50.5
04-16T11:00:00,36.7,54.7,54.7,52.5
04-16T12:00:00,36.5,56.0,56.0,54.2
04-16T13:00:00,36.5,57.2,57.1,55.4
04-16T14:00:00,36.5,57.8,57.8,56.3
04-16T15:00:00,36.6,58.0,57.9,56.5
04-16T16:00:00,36.7,57.6,57.6,56.0
04-16T17:00:00,36.8,56.8,56.8,55.1
04-16T18:00:00,37.0,55.4,55.4,53.4
04-16T19:00:00,37.3,54.1,54.1,51.7
04-16T20:00:00,37.5,53.1,53.1,50.5
04-16T21:00:00,37.7,52.2,52.2,49.4
04-16T22:00:00,37.8,51.3,51.3,48.5
04-16T23:00:00,37.7,50.6,50.6,47.6
04-17T00:00:00,38.4,49.6,49.6,46.2
04-17T01:00:00,37.6,49.4,49.4,46.1
04-17T02:00:00,37.5,48.7,48.7,45.3
04-17T03:00:00,37.3,48.2,48.2,44.5
04-17T04:00:00,37.4,47.7,47.7,44.1
04-17T05:00:00,37.4,47.4,47.4,43.6
04-17T06:00:00,37.4,47.5,47.5,43.7
04-17T07:00:00,37.4,48.5,48.5,44.7
04-17T08:00:00,37.4,50.1,50.1,46.6
04-17T09:00:00,37.4,51.8,51.8,48.7
04-17T10:00:00,37.1,53.5,53.5,51.1
04-17T11:00:00,36.9,55.2,55.2,53.1
04-17T12:00:00,36.7,56.6,56.6,54.9
04-17T13:00:00,36.6,57.7,57.7,56.2
04-17T14:00:00,36.6,58.4,58.4,57.0
04-17T15:00:00,36.7,58.5,58.5,57.2
04-17T16:00:00,36.8,58.2,58.2,56.8
04-17T17:00:00,36.9,57.4,57.4,55.8
04-17T18:00:00,37.0,56.0,56.0,54.2
04-17T19:00:00,37.4,54.6,54.6,52.4
04-17T20:00:00,37.6,53.6,53.6,51.2
04-17T21:00:00,37.8,52.7,52.7,50.2
04-17T22:00:00,37.8,51.9,51.9,49.3
04-17T23:00:00,37.8,51.2,51.1,48.3
04-18T00:00:00,38.5,50.1,50.1,46.9
04-18T01:00:00,37.9,49.9,49.9,46.9
04-18T02:00:00,37.7,49.2,49.2,45.9
04-18T03:00:00,37.5,48.6,48.6,45.2
04-18T04:00:00,37.6,48.2,48.2,44.7
04-18T05:00:00,37.6,47.8,47.8,44.2
04-18T06:00:00,37.6,48.0,48.0,44.3
04-18T07:00:00,37.7,49.0,49.0,45.3
04-18T08:00:00,37.6,50.5,50.5,47.2
04-18T09:00:00,37.7,52.2,52.2,49.3
04-18T10:00:00,37.4,53.9,53.9,51.6
04-18T11:00:00,37.3,55.5,55.5,53.6
04-18T12:00:00,37.2,56.9,56.9,55.3
04-18T13:00:00,37.1,57.9,57.9,56.4
04-18T14:00:00,37.2,58.5,58.5,57.3
04-18T15:00:00,37.3,58.7,58.7,57.4
04-18T16:00:00,37.4,58.4,58.3,57.0
04-18T17:00:00,37.5,57.5,57.5,56.1
04-18T18:00:00,37.6,56.2,56.2,54.5
04-18T19:00:00,37.9,54.9,54.9,52.8
04-18T20:00:00,38.1,53.8,53.8,51.6
